,precision,recall,f1-score,folder,model_size
living macro avg,0.5396620639239311,0.6733216310279958,0.5895419763965675,2_6_50_1000,3.7611770771616
living weighted avg,0.4618605590961946,0.6326487845766974,0.5295347673813366,2_6_50_1000,3.7611770771616
accuracy,0.8140007450807736,0.8140007450807736,0.8140007450807736,2_7_75_1000,3.4793625009043203
macro avg,0.45961117629134896,0.7673709017869801,0.5526981818737529,2_7_75_1000,3.4793625009043203
weighted avg,0.8980856046804997,0.8140007450807736,0.8422376968839347,2_7_75_1000,3.4793625009043203
living macro avg,0.36997778675316634,0.7368819186489213,0.4796290600591897,2_7_75_1000,3.4793625009043203
living weighted avg,0.31371634848725977,0.6925817267393126,0.4268075310073164,2_7_75_1000,3.4793625009043203
accuracy,0.9166186879804924,0.9166186879804924,0.9166186879804924,1_6_25_1000,13.682052663863042
macro avg,0.7718876105028076,0.6596251702727343,0.6956382505741739,1_6_25_1000,13.682052663863042
weighted avg,0.913433201386995,0.9166186879804924,0.9141134738621569,1_6_25_1000,13.682052663863042
living macro avg,0.7456923922315817,0.5986086196121287,0.6471522813526146,1_6_25_1000,13.682052663863042
living weighted avg,0.6272223289627765,0.5704107292539815,0.5891465947993685,1_6_25_1000,13.682052663863042
accuracy,0.807599823889999,0.807599823889999,0.807599823889999,1_6_75_1000,5.279136677608321
macro avg,0.4362694509485004,0.7651116676882014,0.5302573683582438,1_6_75_1000,5.279136677608321
weighted avg,0.8971548064759066,0.807599823889999,0.8374240999084124,1_6_75_1000,5.279136677608321
living macro avg,0.34237119701914115,0.7340011632420332,0.45258605569203,1_6_75_1000,5.279136677608321
living weighted avg,0.30557329722370674,0.6925817267393126,0.41873723069374114,1_6_75_1000,5.279136677608321
accuracy,0.9120804687235412,0.9120804687235412,0.9120804687235412,3_6_25_1000,4.32586671552
macro avg,0.7498358138276098,0.6505214797568202,0.6817100956373224,3_6_25_1000,4.32586671552
weighted avg,0.9100085032750203,0.9120804687235412,0.9103317510457738,3_6_25_1000,4.32586671552
living macro avg,0.7194765958308064,0.5876684171807416,0.630672291986875,3_6_25_1000,4.32586671552
living weighted avg,0.5999194978825102,0.5639145012573344,0.5750611191895916,3_6_25_1000,4.32586671552
accuracy,0.8794493175737461,0.8794493175737461,0.8794493175737461,3_4_50_1000,1.85296631557632
macro avg,0.5746869759934555,0.7210538701235113,0.6300177962202125,3_4_50_1000,1.85296631557632
weighted avg,0.9024797336863039,0.8794493175737461,0.8876342837189848,3_4_50_1000,1.85296631557632
living macro avg,0.5078155767566682,0.6738570528508119,0.5695891592158739,3_4_50_1000,1.85296631557632
living weighted avg,0.4424925084872383,0.6274098910310143,0.5150574763987297,3_4_50_1000,1.85296631557632
accuracy,0.9222575947437938,0.9222575947437938,0.9222575947437938,1_4_0_1000,19.425911022910082
macro avg,0.8454112360518135,0.6133637105094765,0.6892987578834469,1_4_0_1000,19.425911022910082
weighted avg,0.9139859066564953,0.9222575947437938,0.9150592537648238,1_4_0_1000,19.425911022910082
living macro avg,0.8324405178468904,0.5462195154961638,0.6393065124201938,1_4_0_1000,19.425911022910082
living weighted avg,0.7134937359001703,0.4958088851634535,0.5706709611480806,1_4_0_1000,19.425911022910082
accuracy,0.8843431435635182,0.8843431435635182,0.8843431435635182,1_4_50_1000,5.962928794442881
macro avg,0.6161488917278717,0.7279375024565039,0.652036913661129,1_4_50_1000,5.962928794442881
weighted avg,0.9047514858704465,0.8843431435635182,0.8914046583937054,1_4_50_1000,5.962928794442881
living macro avg,0.5595757989970336,0.6816202413454501,0.5967063945723996,1_4_50_1000,5.962928794442881
living weighted avg,0.46177494286561693,0.6347443419949707,0.5297693792518355,1_4_50_1000,5.962928794442881
accuracy,0.8813289531615132,0.8813289531615132,0.8813289531615132,2_3_50_1000,2.8297653304876804
macro avg,0.574748973644612,0.7253529778166161,0.6280795801038744,2_3_50_1000,2.8297653304876804
weighted avg,0.9027420982220911,0.8813289531615132,0.88874140416363,2_3_50_1000,2.8297653304876804
living macro avg,0.5078684832398717,0.679306742082949,0.5672090953488055,2_3_50_1000,2.8297653304876804
living weighted avg,0.449181858155912,0.6234283319362951,0.516224045746717,2_3_50_1000,2.8297653304876804
accuracy,0.9172113658685271,0.9172113658685271,0.9172113658685271,0.05_4_25_2500,26.292984107869444
macro avg,0.7773640120315662,0.673938879156098,0.7075778501137248,0.05_4_25_2500,26.292984107869444
weighted avg,0.9144469307611006,0.9172113658685271,0.9149454881033502,0.05_4_25_2500,26.292984107869444
living macro avg,0.751962496864324,0.6158618099041204,0.6614762042469611,0.05_4_25_2500,26.292984107869444
living weighted avg,0.6258377426297379,0.5787929589270746,0.5930624858744293,0.05_4_25_2500,26.292984107869444
accuracy,0.9173637687540217,0.9173637687540217,0.9173637687540217,0.05_6_25_2500,28.55141459733696
macro avg,0.7766680302761507,0.6651999991258326,0.7011491038253259,0.05_6_25_2500,28.55141459733696
weighted avg,0.9142761509922934,0.9173637687540217,0.914868786094333,0.05_6_25_2500,28.55141459733696
living macro avg,0.7513024965181171,0.6053397917081531,0.6537514413703585,0.05_6_25_2500,28.55141459733696
living weighted avg,0.6321411340531218,0.5737636211232188,0.5929375902876233,0.05_6_25_2500,28.55141459733696
